ID,Longitude,Latitude,Title,Date,Color
E6416,-74.1675082,40.7126446,"Other - Newark,NJ - 2001-01-28",1/28/2001,yellow
E6421,-71.0772585,42.3504318,"Theft-Loss-Diversion - Boston,MA - 2001-02-21",2/21/2001,orange
E6422,-70.8411558,42.6791832,"Materials Acquisition-Storage - Ipswich,MA - 2001-03-05",3/5/2001,orange
E6424,-71.0562,42.3631186,"Materials Acquisition-Storage - Boston,MA - 2001-04-07",4/7/2001,orange
E6425,-71.058993,42.3540909,"Theft-Loss-Diversion - Boston,MA - 2001-04-12",4/12/2001,orange
E6426,-70.9392495,42.5526233,"Theft-Loss-Diversion - Danvers,MA - 2001-04-17",4/17/2001,orange
E6591,-92.6593391,33.2217806,"Weapons Acquisition-Storage - El Dorado,AR - 2001-04-17",4/17/2001,orange
E6852,-97.1333453,33.6259414,"Materials Acquisition-Storage - Gainesville,TX - 2006-02-21",2/21/2006,orange
E7067,-70.9945608,42.410668,"Theft-Loss-Diversion - Revere,MA - 2001-04-19",4/19/2001,orange
E7068,-74.1675082,40.7126446,"Other - Newark,NJ - 2000-04-15",4/15/2000,yellow
E7071,-74.1675082,40.7126446,"Recruitment - Newark,NJ - 2000-02-15",2/15/2000,yellow
E7072,-70.850726,42.671607,"Weapons Acquisition-Storage - Ipswich,MA - 2000-06-15",6/15/2000,yellow
E7092,-70.850726,42.671607,"Acquisition of Expertise - Ipswich,MA - 2001-02-15",2/15/2001,yellow
E7096,-70.850726,42.671607,"Other - Ipswich,MA - 2001-04-19",4/19/2001,yellow
E7097,-71.0562,42.3631186,"Other - Boston,MA - 2001-04-21",4/21/2001,yellow
E7127,-71.0662065,42.3671284,"Other - Boston,MA - 2001-04-22",4/22/2001,yellow
E7128,-75.1837216,39.7857414,"Theft-Loss-Diversion - Mantua,NJ - 2001-02-27",2/27/2001,yellow
E7129,-86.8959617,41.6821215,"Materials Acquisition-Storage - Michigan City,IN - 2001-03-08",3/8/2001,yellow
E7199,-71.2343206,42.4226653,"Other - Lexington,MA - 2001-04-18",4/18/2001,orange
E7475,-71.0573849,42.3389006,"Arrest - Boston,MA - 2001-04-19",4/19/2001,yellow
E7860,-85.538541,30.7818584,"Homicide - Chipley,FL - 2006-11-00",2006-11-00,red
E7877,-112.0631064,33.6115136,"Homicide - Phoenix,AZ - 2001-05-12",5/12/2001,red
E7914,-83.472571,39.908255,"Homicide - London,OH - 1996-04-25",4/25/1996,red
E7996,-82.5127599,40.7950262,"Homicide - Mansfield,OH - 1992-06-26",6/26/1992,red
E8063,-88.987715,37.6612777,"Homicide - Marion,IL - 1999-05-18",5/18/1999,red
E6722,-82.3017728,29.6579549,"Arrest - Unknown City,FL - 2009-12-12",12/12/2009,yellow
E404,-94.5028463,37.0832668,"Facility-Infrastructure Attack - Joplin,MO - 2013-10-03",10/3/2013,red
E405,-94.5028463,37.0832668,"Facility-Infrastructure Attack - Joplin,MO - 2013-10-04",10/4/2013,red
E5879,-78.6046927,35.8209493,"Expressed-Implied Threat - Raleigh,NC - 1987-04-23",4/23/1987,orange
E5927,-93.7501789,32.5251516,"Expressed-Implied Threat - Shreveport,LA - 1987-04-20",4/20/1987,orange
E5928,-92.1193012,32.5093109,"Misrepresentation - Monroe,LA - 1987-04-06",4/6/1987,yellow
E5975,-97.092877,35.0077519,"Recruitment - Unknown City,OK - 1987-03-15",3/15/1987,orange
E6273,-86.1349019,40.2671941,"Weapons Acquisition-Storage - Unknown City,IN - 2001-03-30",3/30/2001,orange
E6423,-86.1349019,40.2671941,"Other - Unknown City,IN - 2001-04-07",4/7/2001,yellow
E7095,-71.0662065,42.3671284,"Other - Boston,MA - 2001-04-20",4/20/2001,yellow
E18181,-79.8912675,35.2145629,"Armed Assault - Unknown City,NC - 1987-00-00",1987-00-00,red
E18182,-86.3032443,32.3761399,"Assassination - Montgomery,AL - 1987-00-00",1987-00-00,red
E511,-117.25507,47.657162,"Hostage Taking (Barricade Incident) - Spokane,WA - 1984-01-30",1/30/1984,red
E529,-122.331306,47.610786,"Facility-Infrastructure Attack - Seattle,WA - 1984-03-16",3/16/1984,red
E566,-122.331306,47.610786,"Bombing-Explosion - Seattle,WA - 1984-04-22",4/22/1984,red
E5752,-122.3320708,47.6062095,"Surveillance-Reconnaissance - Seattle,WA - 1983-11-15",11/15/1983,orange
E582,-122.331306,47.610786,"Facility-Infrastructure Attack - Seattle,WA - 1984-04-23",4/23/1984,red
E5924,-122.60363,48.0901799,"Other - Greenbank,WA - 1984-12-03",12/3/1984,yellow
E5925,-111.8910474,40.7607793,"Other - Salt Lake City,UT - 1984-12-06",12/6/1984,yellow
E5972,-111.8910474,40.7607793,"Establish Residence - Salt Lake City,UT - 1984-12-09",12/9/1984,yellow
E5973,-86.80249,33.5206608,"Other - Birmingham,AL - 1984-12-15",12/15/1984,yellow
E5974,-113.0618931,37.6774769,"Other - Cedar City,UT - 1984-12-09",12/9/1984,yellow
E599,-116.214619,43.618518,"Bombing-Explosion - Boise,ID - 1984-04-29",4/29/1984,red
E6073,-113.0618931,37.6774769,"Establish Residence - Cedar City,UT - 1984-12-09",12/9/1984,yellow
E6075,-80.390871,27.6307506,"Other - Vero Beach,FL - 1984-12-10",12/10/1984,yellow
E6076,-113.0618931,37.6774769,"Materials Acquisition-Storage - Cedar City,UT - 1984-12-09",12/9/1984,orange
E6083,-91.8523711,36.7281154,"Weapons Acquisition-Storage - West Plains,MO - 1984-05-11",5/11/1984,orange
E6084,-80.2037467,27.1458349,"Other - Stuart,FL - 1984-12-09",12/9/1984,yellow
E6085,-80.2757622,27.4186644,"Misrepresentation - Fort Pierce,FL - 1984-12-19",12/19/1984,yellow
E6088,-80.3972736,27.6386434,"Misrepresentation - Vero Beach,FL - 1984-12-07",12/7/1984,yellow
E6089,-117.2434444,47.6575004,"Theft-Loss-Diversion - Spokane,WA - 1984-01-30",1/30/1984,orange
E6091,-122.6664251,38.29975,"Misrepresentation - Penngrove,CA - 1984-07-16",7/16/1984,orange
E6092,-94.485217,36.5456293,"Other - Noel,MO - 1984-08-21",8/21/1984,orange
E6093,-122.3662962,47.7287229,"Theft-Loss-Diversion - Seattle,WA - 1983-12-20",12/20/1983,orange
E6129,-120.7401386,47.7510741,"Theft-Loss-Diversion - Unknown City,WA - 1984-03-16",3/16/1984,orange
